WifeAge,WifeEdu,HusbandEdu,NumChildren,WifeReligion,WifeWorking,HusbandOccupation,StandardOfLivingIndex,MediaExposure,ContraceptiveMethod
24,LevelTwo,LevelThree,3,Islam,No,LevelTwo,LevelThree,Good,no
45,LevelOne,LevelThree,10,Islam,No,LevelThree,LevelFour,Good,no
43,LevelTwo,LevelThree,7,Islam,No,LevelThree,LevelFour,Good,no
42,LevelThree,LevelTwo,9,Islam,No,LevelThree,LevelThree,Good,no
36,LevelThree,LevelThree,8,Islam,No,LevelThree,LevelTwo,Good,no
19,LevelFour,LevelFour,0,Islam,No,LevelThree,LevelThree,Good,no
38,LevelTwo,LevelThree,6,Islam,No,LevelThree,LevelTwo,Good,no
21,LevelThree,LevelThree,1,Islam,Yes,LevelThree,LevelTwo,Good,no
27,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelFour,Good,no
45,LevelOne,LevelOne,8,Islam,No,LevelTwo,LevelTwo,NotGood,no
38,LevelOne,LevelThree,2,Islam,Yes,LevelThree,LevelThree,NotGood,no
42,LevelOne,LevelFour,4,Islam,No,LevelOne,LevelThree,Good,no
44,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,no
42,LevelTwo,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,no
38,LevelThree,LevelFour,2,Islam,No,LevelTwo,LevelThree,Good,no
26,LevelTwo,LevelFour,0,Islam,No,LevelFour,LevelOne,Good,no
48,LevelOne,LevelOne,7,Islam,No,LevelTwo,LevelFour,Good,no
39,LevelTwo,LevelTwo,6,Islam,No,LevelTwo,LevelFour,Good,no
37,LevelTwo,LevelTwo,8,Islam,No,LevelTwo,LevelThree,Good,no
39,LevelTwo,LevelOne,5,Islam,No,LevelTwo,LevelOne,NotGood,no
26,LevelThree,LevelFour,1,Islam,Yes,LevelFour,LevelOne,Good,no
24,LevelThree,LevelFour,0,Islam,Yes,LevelThree,LevelOne,Good,no
46,LevelFour,LevelFour,1,NonIslam,No,LevelOne,LevelFour,Good,no
39,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
48,LevelFour,LevelFour,5,Islam,No,LevelOne,LevelFour,Good,no
40,LevelTwo,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,no
38,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,no
29,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,no
24,LevelFour,LevelFour,0,Islam,Yes,LevelTwo,LevelTwo,Good,no
43,LevelOne,LevelTwo,8,Islam,No,LevelTwo,LevelFour,Good,no
31,LevelThree,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
31,LevelFour,LevelFour,2,Islam,No,LevelThree,LevelTwo,Good,no
26,LevelTwo,LevelFour,0,Islam,Yes,LevelOne,LevelTwo,Good,no
33,LevelTwo,LevelTwo,2,Islam,No,LevelThree,LevelOne,Good,no
24,LevelTwo,LevelThree,1,Islam,No,LevelThree,LevelThree,Good,no
42,LevelOne,LevelThree,9,Islam,No,LevelThree,LevelTwo,NotGood,no
43,LevelOne,LevelTwo,8,Islam,Yes,LevelThree,LevelOne,Good,no
25,LevelThree,LevelThree,4,Islam,No,LevelThree,LevelTwo,Good,no
42,LevelTwo,LevelTwo,3,Islam,No,LevelThree,LevelFour,Good,no
28,LevelTwo,LevelTwo,1,Islam,No,LevelTwo,LevelFour,Good,no
28,LevelOne,LevelOne,3,Islam,No,LevelThree,LevelOne,Good,no
47,LevelTwo,LevelThree,0,Islam,Yes,LevelOne,LevelThree,Good,no
48,LevelTwo,LevelFour,2,Islam,No,LevelOne,LevelThree,Good,no
40,LevelFour,LevelFour,2,NonIslam,No,LevelOne,LevelFour,Good,no
28,LevelTwo,LevelTwo,1,Islam,No,LevelThree,LevelTwo,Good,no
25,LevelOne,LevelFour,1,Islam,No,LevelTwo,LevelOne,Good,no
32,LevelFour,LevelFour,2,Islam,No,LevelTwo,LevelThree,Good,no
45,LevelFour,LevelFour,0,Islam,No,LevelTwo,LevelFour,Good,no
26,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
26,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,no
31,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,no
49,LevelFour,LevelFour,7,NonIslam,No,LevelTwo,LevelFour,Good,no
40,LevelThree,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,no
34,LevelFour,LevelFour,1,NonIslam,Yes,LevelTwo,LevelThree,Good,no
36,LevelTwo,LevelFour,5,Islam,No,LevelTwo,LevelThree,Good,no
20,LevelTwo,LevelTwo,2,Islam,No,LevelTwo,LevelTwo,NotGood,no
43,LevelFour,LevelFour,5,Islam,Yes,LevelOne,LevelFour,Good,no
37,LevelThree,LevelFour,7,Islam,No,LevelTwo,LevelOne,Good,no
21,LevelTwo,LevelThree,0,Islam,No,LevelThree,LevelFour,Good,no
49,LevelFour,LevelFour,6,Islam,No,LevelOne,LevelTwo,Good,no
42,LevelThree,LevelThree,10,Islam,No,LevelThree,LevelThree,Good,no
20,LevelTwo,LevelThree,1,Islam,No,LevelTwo,LevelThree,Good,no
47,LevelOne,LevelTwo,2,Islam,Yes,LevelOne,LevelThree,Good,no
22,LevelTwo,LevelThree,1,Islam,No,LevelTwo,LevelOne,Good,no
27,LevelTwo,LevelFour,1,Islam,Yes,LevelOne,LevelThree,Good,no
24,LevelTwo,LevelFour,1,Islam,No,LevelThree,LevelOne,Good,no
44,LevelFour,LevelTwo,8,Islam,No,LevelThree,LevelThree,Good,no
30,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelOne,Good,no
23,LevelThree,LevelFour,2,Islam,No,LevelThree,LevelFour,Good,no
25,LevelFour,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,no
47,LevelTwo,LevelThree,4,Islam,No,LevelTwo,LevelThree,Good,no
48,LevelTwo,LevelThree,8,Islam,No,LevelOne,LevelFour,Good,no
29,LevelTwo,LevelThree,1,Islam,No,LevelOne,LevelOne,Good,no
29,LevelTwo,LevelThree,1,Islam,No,LevelOne,LevelTwo,Good,no
21,LevelThree,LevelFour,0,Islam,No,LevelTwo,LevelThree,Good,no
21,LevelThree,LevelFour,1,Islam,No,LevelTwo,LevelThree,Good,no
29,LevelFour,LevelFour,0,Islam,Yes,LevelTwo,LevelFour,Good,no
45,LevelThree,LevelFour,3,Islam,No,LevelOne,LevelFour,Good,no
33,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelTwo,Good,no
38,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,no
24,LevelFour,LevelFour,0,NonIslam,No,LevelOne,LevelFour,Good,no
49,LevelFour,LevelFour,6,NonIslam,Yes,LevelOne,LevelFour,Good,no
24,LevelTwo,LevelFour,1,Islam,Yes,LevelFour,LevelFour,Good,no
28,LevelFour,LevelFour,0,NonIslam,Yes,LevelOne,LevelFour,Good,no
30,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
33,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
25,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
35,LevelFour,LevelFour,3,NonIslam,No,LevelOne,LevelFour,Good,no
27,LevelTwo,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,no
24,LevelTwo,LevelTwo,3,Islam,Yes,LevelTwo,LevelOne,Good,no
25,LevelTwo,LevelThree,0,Islam,No,LevelTwo,LevelOne,Good,no
46,LevelTwo,LevelFour,6,Islam,No,LevelOne,LevelFour,Good,no
26,LevelTwo,LevelTwo,3,Islam,No,LevelTwo,LevelOne,Good,no
38,LevelTwo,LevelTwo,1,Islam,Yes,LevelThree,LevelTwo,Good,no
47,LevelOne,LevelTwo,3,Islam,No,LevelOne,LevelThree,Good,no
41,LevelOne,LevelThree,10,Islam,No,LevelTwo,LevelThree,NotGood,no
41,LevelTwo,LevelThree,1,Islam,Yes,LevelTwo,LevelThree,Good,no
28,LevelFour,LevelFour,5,Islam,No,LevelTwo,LevelOne,Good,no
17,LevelTwo,LevelTwo,3,Islam,No,LevelThree,LevelOne,Good,no
27,LevelTwo,LevelThree,5,Islam,No,LevelTwo,LevelOne,Good,no
27,LevelOne,LevelTwo,4,Islam,No,LevelThree,LevelOne,NotGood,no
19,LevelTwo,LevelThree,0,Islam,Yes,LevelTwo,LevelTwo,Good,no
27,LevelTwo,LevelFour,3,Islam,Yes,LevelThree,LevelTwo,Good,no
26,LevelFour,LevelThree,4,Islam,No,LevelTwo,LevelThree,Good,no
23,LevelTwo,LevelFour,2,Islam,No,LevelThree,LevelThree,Good,no
40,LevelThree,LevelThree,3,Islam,No,LevelThree,LevelTwo,Good,no
22,LevelFour,LevelFour,0,Islam,No,LevelOne,LevelOne,Good,no
44,LevelThree,LevelFour,4,Islam,Yes,LevelOne,LevelThree,Good,no
29,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelOne,Good,no
26,LevelTwo,LevelThree,3,Islam,No,LevelThree,LevelOne,Good,no
45,LevelFour,LevelFour,1,Islam,Yes,LevelThree,LevelThree,Good,no
32,LevelThree,LevelThree,7,Islam,Yes,LevelTwo,LevelThree,Good,no
21,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
31,LevelTwo,LevelTwo,4,Islam,No,LevelThree,LevelThree,Good,no
21,LevelThree,LevelFour,0,Islam,No,LevelOne,LevelThree,Good,no
37,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
34,LevelFour,LevelFour,3,NonIslam,Yes,LevelThree,LevelThree,Good,no
44,LevelThree,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
49,LevelFour,LevelThree,5,Islam,No,LevelTwo,LevelThree,Good,no
26,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelThree,Good,no
38,LevelOne,LevelTwo,1,Islam,No,LevelTwo,LevelFour,NotGood,no
36,LevelTwo,LevelThree,5,Islam,No,LevelTwo,LevelThree,Good,no
26,LevelThree,LevelFour,2,Islam,No,LevelThree,LevelThree,Good,no
20,LevelTwo,LevelThree,1,NonIslam,No,LevelThree,LevelTwo,Good,no
44,LevelTwo,LevelOne,3,Islam,Yes,LevelThree,LevelTwo,Good,no
31,LevelThree,LevelFour,2,Islam,No,LevelOne,LevelTwo,NotGood,no
45,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
36,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelTwo,NotGood,no
43,LevelOne,LevelThree,2,Islam,Yes,LevelTwo,LevelTwo,NotGood,no
25,LevelThree,LevelFour,0,Islam,No,LevelOne,LevelThree,Good,no
48,LevelThree,LevelFour,3,Islam,No,LevelThree,LevelOne,Good,no
30,LevelFour,LevelFour,0,NonIslam,Yes,LevelOne,LevelThree,Good,no
48,LevelOne,LevelTwo,8,Islam,No,LevelThree,LevelOne,Good,no
28,LevelThree,LevelFour,1,Islam,No,LevelThree,LevelOne,NotGood,no
26,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
26,LevelThree,LevelThree,3,Islam,Yes,LevelTwo,LevelFour,Good,no
24,LevelFour,LevelFour,2,Islam,No,LevelThree,LevelThree,Good,no
21,LevelThree,LevelThree,2,Islam,No,LevelTwo,LevelTwo,Good,no
30,LevelFour,LevelFour,2,NonIslam,No,LevelThree,LevelOne,Good,no
20,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
33,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelThree,Good,no
30,LevelFour,LevelFour,0,NonIslam,Yes,LevelThree,LevelThree,Good,no
47,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelThree,Good,no
35,LevelFour,LevelFour,2,NonIslam,No,LevelThree,LevelThree,Good,no
30,LevelTwo,LevelFour,2,Islam,No,LevelThree,LevelFour,Good,no
33,LevelFour,LevelFour,3,Islam,No,LevelOne,LevelFour,Good,no
45,LevelFour,LevelFour,4,Islam,No,LevelTwo,LevelThree,Good,no
41,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
32,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelThree,Good,no
43,LevelFour,LevelFour,5,Islam,No,LevelOne,LevelFour,Good,no
44,LevelFour,LevelFour,3,Islam,No,LevelTwo,LevelFour,Good,no
21,LevelOne,LevelThree,4,Islam,No,LevelThree,LevelTwo,Good,no
44,LevelThree,LevelFour,2,Islam,No,LevelOne,LevelFour,NotGood,no
23,LevelFour,LevelFour,2,Islam,No,LevelTwo,LevelFour,Good,no
47,LevelOne,LevelTwo,4,Islam,No,LevelTwo,LevelTwo,Good,no
47,LevelOne,LevelOne,7,Islam,No,LevelTwo,LevelThree,NotGood,no
35,LevelFour,LevelFour,2,Islam,Yes,LevelTwo,LevelFour,Good,no
32,LevelTwo,LevelFour,4,Islam,No,LevelThree,LevelTwo,Good,no
45,LevelOne,LevelFour,5,Islam,No,LevelOne,LevelTwo,NotGood,no
22,LevelTwo,LevelTwo,2,Islam,No,LevelThree,LevelOne,Good,no
23,LevelOne,LevelOne,3,Islam,No,LevelTwo,LevelOne,NotGood,no
30,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,no
44,LevelOne,LevelThree,0,Islam,No,LevelTwo,LevelThree,Good,no
40,LevelThree,LevelThree,1,Islam,Yes,LevelThree,LevelThree,Good,no
34,LevelFour,LevelFour,4,Islam,No,LevelTwo,LevelThree,Good,no
37,LevelThree,LevelFour,1,Islam,No,LevelTwo,LevelFour,Good,no
49,LevelThree,LevelFour,5,Islam,No,LevelOne,LevelFour,Good,no
26,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
22,LevelFour,LevelFour,0,Islam,No,LevelTwo,LevelFour,Good,no
20,LevelThree,LevelFour,0,Islam,Yes,LevelTwo,LevelFour,Good,no
47,LevelFour,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,no
49,LevelTwo,LevelTwo,8,Islam,Yes,LevelThree,LevelOne,Good,no
22,LevelTwo,LevelFour,1,Islam,No,LevelTwo,LevelFour,Good,no
22,LevelThree,LevelThree,2,Islam,No,LevelThree,LevelFour,Good,no
25,LevelThree,LevelTwo,2,Islam,No,LevelThree,LevelTwo,Good,no
32,LevelTwo,LevelFour,0,Islam,Yes,LevelThree,LevelFour,Good,no
28,LevelFour,LevelFour,0,NonIslam,No,LevelOne,LevelThree,Good,no
30,LevelTwo,LevelFour,4,Islam,Yes,LevelOne,LevelFour,Good,no
45,LevelTwo,LevelFour,2,Islam,Yes,LevelTwo,LevelFour,Good,no
49,LevelTwo,LevelOne,10,Islam,Yes,LevelTwo,LevelFour,Good,no
34,LevelFour,LevelFour,2,Islam,Yes,LevelOne,LevelFour,Good,no
25,LevelTwo,LevelFour,1,Islam,No,LevelTwo,LevelTwo,Good,no
42,LevelOne,LevelThree,12,Islam,No,LevelThree,LevelThree,Good,no
48,LevelTwo,LevelOne,3,Islam,Yes,LevelFour,LevelThree,Good,no
35,LevelThree,LevelFour,5,Islam,Yes,LevelTwo,LevelTwo,Good,no
33,LevelTwo,LevelThree,1,Islam,No,LevelThree,LevelFour,Good,no
20,LevelTwo,LevelFour,0,Islam,No,LevelThree,LevelTwo,Good,no
36,LevelTwo,LevelThree,4,Islam,No,LevelThree,LevelOne,NotGood,no
19,LevelThree,LevelThree,2,Islam,No,LevelThree,LevelTwo,Good,no
27,LevelThree,LevelTwo,3,Islam,No,LevelThree,LevelTwo,Good,no
30,LevelOne,LevelTwo,4,Islam,No,LevelFour,LevelOne,Good,no
31,LevelThree,LevelFour,3,Islam,Yes,LevelThree,LevelTwo,Good,no
44,LevelOne,LevelOne,11,Islam,No,LevelFour,LevelOne,NotGood,no
24,LevelThree,LevelThree,2,Islam,No,LevelThree,LevelThree,Good,no
18,LevelThree,LevelFour,0,Islam,Yes,LevelThree,LevelOne,Good,no
45,LevelOne,LevelTwo,6,Islam,No,LevelThree,LevelThree,NotGood,no
25,LevelTwo,LevelTwo,3,Islam,Yes,LevelThree,LevelOne,Good,no
36,LevelThree,LevelFour,6,Islam,No,LevelTwo,LevelFour,Good,no
30,LevelOne,LevelOne,5,Islam,No,LevelTwo,LevelTwo,Good,no
32,LevelTwo,LevelFour,2,Islam,No,LevelThree,LevelThree,Good,no
42,LevelOne,LevelFour,11,NonIslam,No,LevelTwo,LevelTwo,NotGood,no
22,LevelTwo,LevelFour,0,Islam,No,LevelThree,LevelThree,Good,no
36,LevelTwo,LevelFour,2,Islam,Yes,LevelTwo,LevelFour,Good,no
27,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelThree,Good,no
40,LevelThree,LevelFour,1,Islam,No,LevelOne,LevelTwo,Good,no
22,LevelTwo,LevelThree,2,Islam,No,LevelThree,LevelOne,Good,no
26,LevelTwo,LevelFour,0,Islam,No,LevelThree,LevelOne,Good,no
31,LevelThree,LevelFour,0,Islam,Yes,LevelTwo,LevelThree,Good,no
32,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelFour,Good,no
34,LevelTwo,LevelThree,3,Islam,Yes,LevelThree,LevelTwo,Good,no
40,LevelThree,LevelThree,1,NonIslam,No,LevelThree,LevelFour,Good,no
45,LevelOne,LevelTwo,1,Islam,Yes,LevelThree,LevelThree,Good,no
26,LevelThree,LevelFour,3,Islam,No,LevelThree,LevelTwo,Good,no
48,LevelOne,LevelThree,5,Islam,No,LevelThree,LevelTwo,Good,no
43,LevelOne,LevelThree,8,Islam,No,LevelThree,LevelOne,Good,no
27,LevelThree,LevelFour,2,Islam,Yes,LevelTwo,LevelTwo,Good,no
42,LevelThree,LevelTwo,1,Islam,No,LevelThree,LevelThree,Good,no
34,LevelThree,LevelTwo,8,Islam,Yes,LevelTwo,LevelThree,NotGood,no
32,LevelThree,LevelTwo,4,Islam,No,LevelTwo,LevelTwo,NotGood,no
31,LevelThree,LevelThree,2,Islam,Yes,LevelTwo,LevelThree,Good,no
22,LevelTwo,LevelThree,1,Islam,No,LevelThree,LevelThree,Good,no
27,LevelThree,LevelFour,0,Islam,No,LevelThree,LevelThree,Good,no
37,LevelOne,LevelTwo,2,Islam,No,LevelTwo,LevelTwo,NotGood,no
22,LevelOne,LevelTwo,0,Islam,No,LevelTwo,LevelFour,Good,no
47,LevelFour,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,no
32,LevelFour,LevelFour,4,Islam,Yes,LevelOne,LevelThree,Good,no
37,LevelThree,LevelThree,2,Islam,No,LevelOne,LevelFour,Good,no
45,LevelOne,LevelThree,1,Islam,No,LevelTwo,LevelThree,NotGood,no
47,LevelOne,LevelFour,8,Islam,No,LevelThree,LevelThree,Good,no
28,LevelThree,LevelFour,0,Islam,No,LevelThree,LevelTwo,Good,no
48,LevelOne,LevelThree,4,Islam,No,LevelThree,LevelFour,NotGood,no
26,LevelTwo,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
21,LevelThree,LevelFour,0,Islam,Yes,LevelThree,LevelOne,Good,no
20,LevelTwo,LevelThree,1,Islam,No,LevelTwo,LevelFour,Good,no
39,LevelOne,LevelOne,5,Islam,Yes,LevelThree,LevelOne,NotGood,no
27,LevelTwo,LevelThree,1,Islam,Yes,LevelThree,LevelFour,Good,no
37,LevelTwo,LevelThree,5,Islam,Yes,LevelThree,LevelTwo,Good,no
24,LevelFour,LevelFour,1,Islam,No,LevelThree,LevelThree,Good,no
39,LevelThree,LevelThree,6,Islam,No,LevelThree,LevelThree,Good,no
20,LevelThree,LevelThree,1,Islam,No,LevelTwo,LevelThree,Good,no
19,LevelThree,LevelFour,1,Islam,No,LevelTwo,LevelThree,Good,no
40,LevelThree,LevelThree,4,Islam,No,LevelTwo,LevelTwo,Good,no
41,LevelOne,LevelFour,4,Islam,No,LevelThree,LevelThree,Good,no
22,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelThree,Good,no
32,LevelThree,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,no
34,LevelFour,LevelFour,2,NonIslam,No,LevelOne,LevelFour,Good,no
34,LevelFour,LevelFour,2,Islam,Yes,LevelOne,LevelThree,Good,no
23,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
27,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelTwo,Good,no
46,LevelThree,LevelTwo,11,Islam,Yes,LevelTwo,LevelTwo,NotGood,no
34,LevelFour,LevelFour,3,NonIslam,No,LevelOne,LevelTwo,Good,no
33,LevelFour,LevelFour,5,Islam,No,LevelThree,LevelThree,Good,no
25,LevelThree,LevelThree,1,Islam,No,LevelThree,LevelTwo,Good,no
26,LevelFour,LevelFour,1,Islam,Yes,LevelOne,LevelFour,Good,no
48,LevelOne,LevelThree,4,Islam,No,LevelThree,LevelThree,NotGood,no
36,LevelFour,LevelFour,2,Islam,No,LevelThree,LevelThree,Good,no
38,LevelThree,LevelFour,2,NonIslam,No,LevelTwo,LevelFour,Good,no
44,LevelOne,LevelTwo,7,Islam,No,LevelThree,LevelFour,Good,no
44,LevelTwo,LevelTwo,1,Islam,Yes,LevelThree,LevelTwo,Good,no
39,LevelThree,LevelThree,1,NonIslam,No,LevelThree,LevelFour,Good,no
47,LevelOne,LevelTwo,7,Islam,Yes,LevelThree,LevelTwo,Good,no
43,LevelOne,LevelThree,5,Islam,Yes,LevelThree,LevelTwo,Good,no
29,LevelThree,LevelThree,3,Islam,Yes,LevelTwo,LevelFour,Good,no
22,LevelThree,LevelThree,0,Islam,No,LevelTwo,LevelTwo,Good,no
31,LevelTwo,LevelFour,5,Islam,No,LevelThree,LevelTwo,Good,no
22,LevelFour,LevelFour,0,Islam,No,LevelOne,LevelThree,Good,no
45,LevelThree,LevelFour,6,Islam,No,LevelTwo,LevelFour,Good,no
42,LevelThree,LevelFour,10,Islam,Yes,LevelThree,LevelTwo,Good,no
38,LevelThree,LevelThree,7,Islam,No,LevelThree,LevelOne,Good,no
47,LevelOne,LevelOne,6,Islam,Yes,LevelThree,LevelOne,Good,no
30,LevelFour,LevelFour,2,Islam,No,LevelOne,LevelFour,Good,no
28,LevelThree,LevelFour,1,Islam,No,LevelThree,LevelFour,Good,no
25,LevelThree,LevelFour,1,Islam,No,LevelTwo,LevelOne,Good,no
49,LevelTwo,LevelFour,6,NonIslam,No,LevelTwo,LevelThree,Good,no
23,LevelThree,LevelFour,2,Islam,Yes,LevelTwo,LevelThree,Good,no
35,LevelThree,LevelFour,1,NonIslam,No,LevelTwo,LevelThree,Good,no
47,LevelTwo,LevelOne,5,NonIslam,No,LevelTwo,LevelFour,Good,no
35,LevelTwo,LevelThree,0,Islam,No,LevelTwo,LevelFour,Good,no
44,LevelThree,LevelFour,6,Islam,No,LevelThree,LevelFour,Good,no
48,LevelFour,LevelFour,3,Islam,No,LevelTwo,LevelFour,Good,no
43,LevelTwo,LevelThree,6,Islam,Yes,LevelThree,LevelThree,Good,no
21,LevelTwo,LevelFour,2,Islam,No,LevelThree,LevelOne,Good,no
22,LevelFour,LevelFour,0,Islam,No,LevelOne,LevelFour,Good,no
41,LevelThree,LevelThree,5,Islam,No,LevelThree,LevelFour,Good,no
29,LevelTwo,LevelFour,2,Islam,Yes,LevelFour,LevelFour,NotGood,no
44,LevelFour,LevelFour,5,NonIslam,No,LevelTwo,LevelFour,Good,no
22,LevelFour,LevelFour,0,Islam,Yes,LevelOne,LevelFour,Good,no
23,LevelTwo,LevelFour,4,Islam,No,LevelThree,LevelThree,Good,no
22,LevelTwo,LevelOne,0,Islam,No,LevelThree,LevelTwo,Good,no
35,LevelOne,LevelThree,0,Islam,No,LevelTwo,LevelTwo,NotGood,no
24,LevelFour,LevelFour,1,Islam,No,LevelTwo,LevelTwo,Good,no
36,LevelFour,LevelFour,4,Islam,No,LevelOne,LevelFour,Good,no
47,LevelOne,LevelTwo,2,Islam,No,LevelTwo,LevelFour,Good,no
40,LevelFour,LevelFour,3,Islam,No,LevelThree,LevelFour,Good,no
29,LevelFour,LevelFour,1,Islam,No,LevelOne,LevelThree,Good,no
49,LevelThree,LevelFour,6,Islam,No,LevelOne,LevelFour,Good,no
49,LevelThree,LevelFour,9,Islam,No,LevelOne,LevelFour,Good,no
